Date,Rating
Sunday 21st May,7
Thursday 18th May,9
Sunday 14th May,7
Friday 5th May,5
Sunday 30th April,8
Saturday 15th April,8
Saturday 8th April,8
Wednesday 5th April,8
Sunday 19th March,7
Saturday 11th February,6
Saturday 4th February,7
Tuesday 31st January,7
Sunday 1st January,8
Sunday 11th December,6
Saturday 3rd December,7
Saturday 26th November,6
Sunday 6th November,6
Saturday 29th October,5
Saturday 22nd October,5
Sunday 2nd October,7
Saturday 24th September,8
Sunday 18th September,9
Saturday 10th September,9
