Date,Rating
Saturday 4th May,3
Saturday 27th April,6
Tuesday 23rd April,6
Saturday 20th April,7
Wednesday 3rd April,8
Saturday 2nd March,5
Wednesday 27th February,5
Saturday 23rd February,5
Sunday 10th February,7
Saturday 2nd February,8
Wednesday 30th January,8
Sunday 13th January,6
Tuesday 1st January,8
Saturday 29th December,5
Wednesday 26th December,8
Sunday 23rd December,9
Saturday 8th December,8
Wednesday 5th December,7
Sunday 2nd December,7
Saturday 24th November,8
Saturday 6th October,6
Saturday 29th September,6
