Name,Position,id,link,"Saves   
     ","Penalties saved   
     ","Punches   
     ","High Claims   
     ","Catches   
     ","Sweeper clearances   
     ","Throw outs   
     ","Goal Kicks   
     ","Clean sheets   
     ","Goals conceded   
     ","Errors leading to goal   
     ","Own goals   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Goals   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Accurate long balls   
     "
Hugo-Lloris,Goalkeeper,4664,https://www.premierleague.com/players/4664/Hugo-Lloris/stats?co=1&se=54,78,0,11,19,10,34,152,213,15,24,2,0,0,0,0,0,0,"1,060",31.18,240
Michel-Vorm,Goalkeeper,4398,https://www.premierleague.com/players/4398/Michel-Vorm/stats?co=1&se=54,7,0,0,1,1,3,23,28,2,2,0,0,0,0,0,0,0,134,26.80,35
Luke-McGee,Goalkeeper,10521,https://www.premierleague.com/players/10521/Luke-McGee/stats?co=1&se=54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Pau-Lopez,Goalkeeper,20742,https://www.premierleague.com/players/20742/Pau-Lopez/stats?co=1&se=54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Alfie-Whiteman,Goalkeeper,15111,https://www.premierleague.com/players/15111/Alfie-Whiteman/stats?co=1&se=54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
