Name
Kyle-Walker
Danny-Rose
Toby-Alderweireld
Jan-Vertonghen
Kieran-Trippier
Kevin-Wimmer
Ben-Davies
Kyle-Walker-Peters
Cameron-Carter-Vickers
Jaden-Brown
Jonathan-Dinzeyi
Davinson-Sanchez
Juan-Foyth
Serge-Aurier
Anton-Walkes
Erik-Lamela
Victor-Wanyama
Eric-Dier
Moussa-Sissoko
Mousa-Dembele
Dele-Alli
Christian-Eriksen
Josh-Onomah
Harry-Winks
Filip-Lesniak
Luke-Amos
Will-Miller
Anthony-Georgiou
Tashan-Oakley-Boothe
Lucas-Moura
Hugo-Lloris
Michel-Vorm
Alfie-Whiteman
Brandon-Austin
Paulo-Gazzaniga
