Name,Position,id,link,"Saves   
     ","Penalties saved   
     ","Punches   
     ","High Claims   
     ","Catches   
     ","Sweeper clearances   
     ","Throw outs   
     ","Goal Kicks   
     ","Clean sheets   
     ","Goals conceded   
     ","Errors leading to goal   
     ","Own goals   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Goals   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Accurate long balls   
     "
Hugo-Lloris,Goalkeeper,4664,https://www.premierleague.com/players/4664/Hugo-Lloris/stats?co=1&se=42,88,0,27,35,16,40,162,247,13,34,3,0,0,0,0,0,0,"1,047",28.30,253
Michel-Vorm,Goalkeeper,4398,https://www.premierleague.com/players/4398/Michel-Vorm/stats?co=1&se=42,1,0,0,1,0,0,4,7,0,1,0,0,0,0,0,0,0,45,45.00,8
Luke-McGee,Goalkeeper,10521,https://www.premierleague.com/players/10521/Luke-McGee/stats?co=1&se=42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Tom-Glover,Goalkeeper,15112,https://www.premierleague.com/players/15112/Tom-Glover/stats?co=1&se=42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
