Name,Position,id,link,"Goals   
     ","Goals per match   
       ","Headed goals   
     ","Goals with right foot   
     ","Goals with left foot   
     ","Penalties scored   
     ","Freekicks scored   
     ","Shots   
     ","Shots on target   
     ","Shooting accuracy %   
       ","Hit woodwork   
     ","Big chances missed   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Big chances created   
     ","Crosses   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Offsides   
     ","Tackles   
     ","Blocked shots   
     ","Interceptions   
     ","Clearances   
     ","Headed Clearance   
     "
Son-Heung-Min,Forward,4999,https://www.premierleague.com/players/4999/Son-Heung-Min/stats?co=1&se=210,12,0.39,0,7,5,0,0,74,29,39,1,5,6,752,24.26,5,25,2,1,12,22,23,23,8,4,0
Harry-Kane,Forward,3960,https://www.premierleague.com/players/3960/Harry-Kane/stats?co=1&se=210,17,0.61,2,12,3,4,0,102,46,45,2,11,4,551,19.68,7,12,5,0,31,10,9,24,1,14,12
Fernando-Llorente,Forward,5551,https://www.premierleague.com/players/5551/Fernando-Llorente/stats?co=1&se=210,1,0.05,1,0,0,0,0,24,5,21,1,5,4,223,11.15,2,1,2,0,12,5,4,5,1,10,9
Kazaiah-Sterling,Forward,15137,https://www.premierleague.com/players/15137/Kazaiah-Sterling/stats?co=1&se=210,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
Vincent-Janssen,Forward,15481,https://www.premierleague.com/players/15481/Vincent-Janssen/stats?co=1&se=210,0,0.00,0,0,0,0,0,3,1,33,0,1,0,9,3.00,0,1,0,0,2,1,2,1,0,1,1
