Name,Position,id,link,"Goals   
     ","Goals per match   
       ","Headed goals   
     ","Goals with right foot   
     ","Goals with left foot   
     ","Penalties scored   
     ","Freekicks scored   
     ","Shots   
     ","Shots on target   
     ","Shooting accuracy %   
       ","Hit woodwork   
     ","Big chances missed   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Big chances created   
     ","Crosses   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Offsides   
     ","Tackles   
     ","Blocked shots   
     ","Interceptions   
     ","Clearances   
     ","Headed Clearance   
     "
Son-Heung-Min,Forward,4999,https://www.premierleague.com/players/4999/Son-Heung-Min/stats?co=1&se=42,4,0.14,0,2,2,0,0,38,13,34,1,3,1,447,15.96,0,14,0,0,12,9,27,13,12,7,3
Harry-Kane,Forward,3960,https://www.premierleague.com/players/3960/Harry-Kane/stats?co=1&se=42,25,0.66,1,19,5,5,0,158,75,47,7,18,1,962,25.32,4,44,5,0,42,30,29,34,21,31,17
Clinton-N'Jie,Forward,6903,https://www.premierleague.com/players/6903/Clinton-N'Jie/stats?co=1&se=42,0,0.00,0,0,0,0,0,6,2,33,0,0,1,72,9.00,1,4,0,0,4,2,7,2,0,0,0
Emmanuel-Adebayor,Forward,2845,https://www.premierleague.com/players/2845/Emmanuel-Adebayor/stats?co=1&se=42,1,0.08,1,0,0,0,0,12,4,33,1,2,1,230,19.17,0,6,1,0,10,11,2,2,1,7,4
Roberto-Soldado,Forward,4846,https://www.premierleague.com/players/4846/Roberto-Soldado/stats?co=1&se=42,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
