Name,Position,id,link,"Goals   
     ","Goals per match   
       ","Headed goals   
     ","Goals with right foot   
     ","Goals with left foot   
     ","Penalties scored   
     ","Freekicks scored   
     ","Shots   
     ","Shots on target   
     ","Shooting accuracy %   
       ","Hit woodwork   
     ","Big chances missed   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Big chances created   
     ","Crosses   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Offsides   
     ","Tackles   
     ","Blocked shots   
     ","Interceptions   
     ","Clearances   
     ","Headed Clearance   
     "
Kazaiah-Sterling,Forward,15137,https://www.premierleague.com/players/15137/Kazaiah-Sterling/stats?co=1&se=79,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
Son-Heung-Min,Forward,4999,https://www.premierleague.com/players/4999/Son-Heung-Min/stats?co=1&se=79,12,0.32,2,5,5,0,0,75,33,44,2,8,6,916,24.76,9,51,0,0,15,25,17,19,10,9,2
Vincent-Janssen,Forward,15481,https://www.premierleague.com/players/15481/Vincent-Janssen/stats?co=1&se=79,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0
Harry-Kane,Forward,3960,https://www.premierleague.com/players/3960/Harry-Kane/stats?co=1&se=79,30,0.81,6,13,10,2,0,184,76,41,6,18,2,657,17.76,5,20,5,0,34,42,17,48,5,19,14
Clinton-N'Jie,Forward,6903,https://www.premierleague.com/players/6903/Clinton-N'Jie/stats?co=1&se=79,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
Samuel-Shashoua,Forward,15142,https://www.premierleague.com/players/15142/Samuel-Shashoua/stats?co=1&se=79,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
Fernando-Llorente,Forward,5551,https://www.premierleague.com/players/5551/Fernando-Llorente/stats?co=1&se=79,1,0.06,1,0,0,0,0,6,2,33,0,1,0,88,5.50,0,0,1,0,4,2,6,2,0,6,5
