Name,Position,id,link,"Goals   
     ","Goals per match   
       ","Headed goals   
     ","Goals with right foot   
     ","Goals with left foot   
     ","Penalties scored   
     ","Freekicks scored   
     ","Shots   
     ","Shots on target   
     ","Shooting accuracy %   
       ","Hit woodwork   
     ","Big chances missed   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Big chances created   
     ","Crosses   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Offsides   
     ","Tackles   
     ","Blocked shots   
     ","Interceptions   
     ","Clearances   
     ","Headed Clearance   
     "
Son-Heung-Min,Forward,4999,https://www.premierleague.com/players/4999/Son-Heung-Min/stats?co=1&se=54,14,0.41,0,9,5,0,0,80,33,41,4,5,6,775,22.79,5,62,2,0,9,22,19,21,7,6,3
Harry-Kane,Forward,3960,https://www.premierleague.com/players/3960/Harry-Kane/stats?co=1&se=54,29,0.97,2,20,7,5,0,110,58,53,3,11,7,597,19.90,7,29,3,0,23,17,22,21,4,21,15
Clinton-N'Jie,Forward,6903,https://www.premierleague.com/players/6903/Clinton-N'Jie/stats?co=1&se=54,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
Vincent-Janssen,Forward,15481,https://www.premierleague.com/players/15481/Vincent-Janssen/stats?co=1&se=54,2,0.07,0,1,1,1,0,30,14,47,1,5,2,225,8.33,2,10,0,0,31,8,15,5,2,2,2
Samuel-Shashoua,Forward,15142,https://www.premierleague.com/players/15142/Samuel-Shashoua/stats?co=1&se=54,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
Shayon-Harrison,Forward,15145,https://www.premierleague.com/players/15145/Shayon-Harrison/stats?co=1&se=54,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
