Name
Kieran-Trippier
Danny-Rose
Toby-Alderweireld
Jan-Vertonghen
Davinson-Sanchez
Juan-Foyth
Serge-Aurier
Ben-Davies
Kyle-Walker-Peters
Anton-Walkes
Cameron-Carter-Vickers
Timothy-Eyoma
Japhet-Tanganga
Jonathan-Dinzeyi
Erik-Lamela
Victor-Wanyama
Eric-Dier
Moussa-Sissoko
Mousa-Dembele
Dele-Alli
Christian-Eriksen
Lucas-Moura
Harry-Winks
Anthony-Georgiou
Tashan-Oakley-Boothe
Luke-Amos
Josh-Onomah
George-Marsh
Shilow-Tracey
Paris-Maghoma
Jamie-Bowden
Oliver-Skipp
Hugo-Lloris
Michel-Vorm
Paulo-Gazzaniga
Alfie-Whiteman
Brandon-Austin
