Name,Position,id,link,"Saves   
     ","Penalties saved   
     ","Punches   
     ","High Claims   
     ","Catches   
     ","Sweeper clearances   
     ","Throw outs   
     ","Goal Kicks   
     ","Clean sheets   
     ","Goals conceded   
     ","Errors leading to goal   
     ","Own goals   
     ","Yellow cards   
     ","Red cards   
     ","Fouls   
     ","Goals   
     ","Assists   
     ","Passes   
     ","Passes per match   
       ","Accurate long balls   
     "
Hugo-Lloris,Goalkeeper,4664,https://www.premierleague.com/players/4664/Hugo-Lloris/stats?co=1&se=210,101,2,19,11,11,18,161,252,12,33,1,0,0,0,0,0,0,"1,047",31.73,220
Michel-Vorm,Goalkeeper,4398,https://www.premierleague.com/players/4398/Michel-Vorm/stats?co=1&se=210,9,0,1,1,1,1,17,10,0,4,0,0,0,0,0,0,0,44,22.00,5
Paulo-Gazzaniga,Goalkeeper,4600,https://www.premierleague.com/players/4600/Paulo-Gazzaniga/stats?co=1&se=210,11,0,2,2,1,1,13,26,1,2,0,0,0,0,0,0,0,95,31.67,18
Alfie-Whiteman,Goalkeeper,15111,https://www.premierleague.com/players/15111/Alfie-Whiteman/stats?co=1&se=210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Brandon-Austin,Goalkeeper,15114,https://www.premierleague.com/players/15114/Brandon-Austin/stats?co=1&se=210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
